image_id,n_valid_pixels,total_error_count,within_functional_count,within_functional_error_rate,crop_weed_functional_count,crop_weed_functional_error_rate,vegetation_soil_count,vegetation_soil_error_rate,crop_soil_count,crop_soil_error_rate,weedfunctional_soil_count,weedfunctional_soil_error_rate,cross_functional_count,cross_functional_error_rate,crop_fp_total,crop_fn_total,crop_fp_from_soil,crop_fp_from_weed,crop_fp_from_dicot,crop_fp_from_grass,crop_fn_to_soil,crop_fn_to_weed,crop_fn_to_dicot,crop_fn_to_grass
2016-05-23__bonirob_2016-05-23-10-42-16_1_frame30,1251936,8685,109,8.706515349027426e-05,826,0.0006597781356235462,7750,0.006190412289446106,3376,0.0026966234695703297,4374,0.0034937888198757765,8576,0.006850190425069652,2896,1306,2070,0,0,826,1306,0,0,0
2016-05-23__bonirob_2016-05-23-10-42-16_1_frame39,1251936,10274,1559,0.0012452713237737392,96,7.668123610152595e-05,8619,0.006884537228740127,2379,0.00190025688214094,6240,0.0049842803465991875,8715,0.006961218464841653,1077,1398,1077,0,0,0,1302,0,0,96
2016-05-23__bonirob_2016-05-23-10-42-16_1_frame48,1251936,9718,44,3.514556654653273e-05,0,0.0,9674,0.0077272320629808555,3277,0.002617545944840631,6397,0.005109686118140225,9674,0.0077272320629808555,1806,1471,1806,0,0,0,1471,0,0,0
2016-05-23__bonirob_2016-05-23-10-42-16_1_frame49,1251936,7120,126,0.00010064412238325282,1643,0.0013123674053625745,5351,0.004274180149784015,3967,0.0031686923293203486,1384,0.0011054878204636658,6994,0.005586547555146589,2350,3260,1610,740,0,0,2357,565,0,338
2016-05-23__bonirob_2016-05-23-10-42-16_1_frame53,1251936,178222,358,0.00028595710962860723,120074,0.0959106535797357,57790,0.04616050660736651,12013,0.009595538430079494,45777,0.036564968177287015,177864,0.14207116018710222,132087,0,12013,120074,0,0,0,0,0,0
2016-05-23__bonirob_2016-05-23-10-42-16_1_frame54,1251936,313442,31,2.4761649157784424e-05,269949,0.21562523962886282,43462,0.03471583211921376,18961,0.015145342892927434,24501,0.019570489226286326,313411,0.25034107174807657,288907,3,18958,269949,0,0,3,0,0,0
2016-05-23__bonirob_2016-05-23-10-42-16_1_frame58,1251936,7104,39,3.115175216624492e-05,0,0.0,7065,0.005643259719346676,3119,0.002491341410423536,3946,0.0031519183089231398,7065,0.005643259719346676,2207,912,2207,0,0,0,912,0,0,0
2016-05-23__bonirob_2016-05-23-10-42-16_1_frame62,1251936,9504,2112,0.001686987194233571,303,0.0002420251514454413,7089,0.005662430028372058,1792,0.0014313830738951511,5297,0.004231046954476906,7392,0.005904455179817499,772,1323,469,0,0,303,1323,0,0,0
2016-05-23__bonirob_2016-05-23-10-42-16_1_frame66,1251936,3840,0,0.0,0,0.0,3840,0.003067249444061038,2735,0.002184616466017432,1105,0.000882632978043606,3840,0.003067249444061038,597,2138,597,0,0,0,2138,0,0,0
2016-05-23__bonirob_2016-05-23-10-42-16_1_frame69,1251936,143920,1189,0.0009497290596324413,126753,0.10124559082892416,15978,0.012762633233647727,5396,0.004310124479206605,10582,0.008452508754441122,142731,0.11400822406257188,132149,0,5396,0,0,126753,0,0,0,0
2016-05-23__bonirob_2016-05-23-10-42-16_1_frame79,1251936,17351,2724,0.002175830074380799,53,4.233443243105079e-05,14574,0.011641170155662909,8919,0.007124166091557396,5655,0.004517004064105513,14627,0.01168350458809396,3143,5829,3090,0,0,53,5829,0,0,0
2016-05-23__bonirob_2016-05-23-10-42-16_1_frame81,1251936,11735,134,0.00010703422539171331,2709,0.0021638486312399357,8892,0.007102599493903842,5619,0.0044882486005674415,3273,0.0026143508933364006,11601,0.009266448125143777,4828,3500,4605,0,0,223,1014,0,0,2486
2016-05-23__bonirob_2016-05-23-10-42-16_1_frame83,1251936,157079,1922,0.0015352222477826342,144478,0.11540366280704445,10679,0.008529988753418705,5166,0.004126409017713366,5513,0.00440357973570534,155157,0.12393365156046315,149644,0,5166,0,0,144478,0,0,0,0
2016-05-23__bonirob_2016-05-23-10-42-16_1_frame88,1251936,5933,0,0.0,16,1.2780206016920992e-05,5917,0.004726279937632595,5400,0.004313319530710835,517,0.00041296040692175956,5933,0.004739060143649516,3248,2168,3232,16,0,0,2168,0,0,0
2016-05-23__bonirob_2016-05-23-10-42-16_1_frame89,1251936,9839,3,2.396288628172686e-06,0,0.0,9836,0.00785663164890218,3862,0.0030848222273343047,5974,0.004771809421567875,9836,0.00785663164890218,3218,644,3218,0,0,0,644,0,0,0
2016-05-23__bonirob_2016-05-23-10-42-16_1_frame94,1251936,15500,931,0.0007436482376095903,695,0.0005551401988600056,13874,0.011082036142422615,7045,0.005627284461825525,6829,0.005454751680597092,14569,0.011637176341282621,6576,1164,5893,0,0,683,1152,0,0,12
2016-05-23__bonirob_2016-05-23-10-42-16_1_frame96,1251936,6197,1595,0.0012740267873118114,0,0.0,4602,0.0036759067556169007,2322,0.001854727398205659,2280,0.0018211793574112415,4602,0.0036759067556169007,1619,703,1619,0,0,0,703,0,0,0
2016-05-23__bonirob_2016-05-23-10-42-16_1_frame104,1251936,11909,3537,0.002825224292615597,0,0.0,8372,0.006687242798353909,6227,0.004973896429210439,2145,0.0017133463691434705,8372,0.006687242798353909,5407,820,5407,0,0,0,820,0,0,0
2016-05-23__bonirob_2016-05-23-10-42-16_1_frame111,1251936,8663,487,0.00038899752064003274,938,0.0007492395777419932,7238,0.005781445696904634,2661,0.0021255080131891728,4577,0.0036559376837154616,8176,0.006530685274646627,2033,1566,1095,0,0,938,1566,0,0,0
2016-05-23__bonirob_2016-05-23-10-42-16_1_frame117,1251936,18491,7102,0.005672813945760805,61,4.872453543951129e-05,11328,0.009048385859980064,5791,0.0046256358152493415,5537,0.004422750044730721,11389,0.009097110395419574,2322,3530,2261,0,0,61,3530,0,0,0
2016-05-23__bonirob_2016-05-23-10-42-16_1_frame124,1251936,7855,0,0.0,302,0.00024122638856938374,7553,0.006033056002862766,5512,0.004402780972829282,2041,0.0016302750300334842,7855,0.00627428239143215,4196,1618,3894,302,0,0,1618,0,0,0
2016-05-23__bonirob_2016-05-23-10-42-16_1_frame125,1251936,175796,256,0.00020448329627073588,162665,0.12993076323390332,12875,0.010284072029241111,7703,0.0061528704342714005,5172,0.004131201594969711,175540,0.14021483526314443,170368,0,7703,0,0,162665,0,0,0,0
2016-05-23__bonirob_2016-05-23-10-42-16_1_frame126,1251936,15499,661,0.0005279822610740485,4876,0.0038947677836566725,9962,0.007957275771285433,6651,0.005312571888658846,3311,0.002644703882626588,14838,0.011852043554942106,6085,5442,4312,0,0,1773,2339,4,0,3099
2016-05-23__bonirob_2016-05-23-10-42-16_1_frame132,1251936,5911,0,0.0,0,0.0,5911,0.00472148736037625,2711,0.0021654461569920506,3200,0.0025560412033841986,5911,0.00472148736037625,1111,1600,1111,0,0,0,1600,0,0,0
2016-05-23__bonirob_2016-05-23-10-42-16_1_frame135,1251936,15355,483,0.00038580246913580245,1917,0.0015312284334023465,12955,0.010347973059325716,10932,0.008732075761061268,2023,0.0016158972982644481,14872,0.011879201492728062,3814,9035,3814,0,0,0,7118,103,0,1814
2016-05-23__bonirob_2016-05-23-10-42-16_1_frame137,1251936,7195,0,0.0,0,0.0,7195,0.005747098893234159,6088,0.0048628683894384375,1107,0.0008842305037957211,7195,0.005747098893234159,4006,2082,4006,0,0,0,2082,0,0,0
2016-05-23__bonirob_2016-05-23-10-42-16_1_frame138,1251936,12200,0,0.0,3952,0.0031567108861794853,8248,0.0065881962017227715,4477,0.003576061396109705,3771,0.0030121348056130664,12200,0.009744907087902257,7936,493,3984,0,0,3952,493,0,0,0
2016-05-23__bonirob_2016-05-23-10-42-16_1_frame139,1251936,9565,392,0.00031311504741456434,3989,0.003186265112593615,5184,0.004140786749482402,3407,0.002721385118728114,1777,0.0014194016307542878,9173,0.007327051862076017,6474,922,2485,0,0,3989,922,0,0,0
2016-05-23__bonirob_2016-05-23-10-42-16_1_frame140,1251936,10995,542,0.0004329294788231986,1917,0.0015312284334023465,8536,0.00681823991002735,6975,0.005571371060501496,1561,0.0012468688495258543,10453,0.008349468343429697,8227,665,6310,0,0,1917,665,0,0,0
2016-05-23__bonirob_2016-05-23-10-42-16_1_frame150,1251936,42060,27455,0.021930034762160367,120,9.585154512690744e-05,14485,0.011570080259693786,2670,0.0021326968790736905,11815,0.009437383380620095,14605,0.011665931804820694,2226,564,2106,120,0,0,564,0,0,0
2016-05-23__bonirob_2016-05-23-10-42-16_1_frame154,1251936,4822,0,0.0,3,2.396288628172686e-06,4819,0.0038492382997213914,4134,0.0033020857296219615,685,0.00054715257009943,4822,0.003851634588349564,1997,2140,1994,3,0,0,2140,0,0,0
2016-05-23__bonirob_2016-05-23-10-42-16_1_frame155,1251936,10868,0,0.0,736,0.0005878894767783657,10132,0.008093065460215218,8443,0.0067439549625539965,1689,0.0013491104976612223,10868,0.008680954936993585,8091,1088,7355,736,0,0,1088,0,0,0
2016-05-23__bonirob_2016-05-23-10-42-16_1_frame158,1251936,13229,3460,0.0027637195511591647,3381,0.002700617283950617,6388,0.005102497252255706,4049,0.003234190885157069,2339,0.0018683063670986376,9769,0.007803114536206324,6509,921,3128,0,0,3381,921,0,0,0
